QUEST_LV_0500_20190509_000001	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20220830_002188	오르샤 조사원과 이야기하세요	
QUEST_LV_0500_20220830_002189	델무어 격전지에서 조사를 하던 오르샤 군에게서 정보가 들어온 모양이다.{nl}오르샤의 영주 이네사 헤먼데일과 이야기를 하자.	
QUEST_LV_0500_20220830_002190	델무어 대합실로 가 라민 대장군과 합류하기	
QUEST_LV_0500_20220830_002191	이네사에 말에 따르면 라민 대장군과 파야우타는 이미 델무어 대합실로 향한거 같다.{nl}델무어 정원을 넘어 델무어 대합실로 가자.	
QUEST_LV_0500_20221117_002192	계시자님, 지난번 격동의 핵 조사 중에 변질의 전파자를 처리해주셔서 감사합니다.	오르샤 조사원
QUEST_LV_0500_20221117_002193	변질의 전파자를 처리하고,{nl}조사를 진행하던 와중에 이때까지 본 적 없던 새로운 종류의 몬스터가 발견되었습니다.	오르샤 조사원
QUEST_LV_0500_20221117_002194	상체는 마족의 모습을 그리고 하체는 말과 같은 몬스터였습니다.	오르샤 조사원
QUEST_LV_0500_20221117_002195	그 괴물에 발각되기 전에 도망은 쳤지만, 그것을 피해서 조사하는 것은 어려울 거 같습니다.	오르샤 조사원
QUEST_LV_0500_20221117_002196	계시자님의 도움이 필요합니다.	영주 호위병
QUEST_LV_0500_20221117_002197	조사 진행을 위해 격동의 핵 안의 괴물을 빨리 처리해야 합니다.	오르샤 조사원
QUEST_LV_0500_20221117_002198	오르샤 조사	
QUEST_LV_0500_20221117_002199	몬스터를 처치해주셨군요.	오르샤 조사
QUEST_LV_0500_20221117_002200	저는 이 사실을 영주님께 보고를 드리겠습니다.{nl}협력해주셔서 감사합니다.	오르샤 조사
QUEST_LV_0500_20221117_002201	재규어가 되었다고 방심하면 적들의 표적이 된다.	[재규어 마스터] 엘 이트샤
QUEST_LV_0500_20221117_002202	이제 재규어로서 자신을 단련하도록.	[재규어 마스터] 엘 이트샤
QUEST_LV_0500_20221117_002203	게으름 피우지 말고, 어서 가서 자신을 단련해라.	[재규어 마스터] 엘 이트샤
QUEST_LV_0500_20221117_002204	고생했다.{nl}항상 재규어로서 단련을 잊지 말도록.	[재규어 마스터] 엘 이트샤
QUEST_LV_0500_20221117_002205	그리고 적들을 고통스럽게 여신의 곁으로 보내라.	[재규어 마스터] 엘 이트샤
QUEST_LV_0500_20221117_002206	의문의 몬스터 : 팔로우로스	
QUEST_LV_0500_20221117_002207	[재규어] 사냥꾼의 증표	
QUEST_LV_0500_20221117_002208	다른 일이 먼저라고 한다.	
QUEST_LV_0500_20221117_002209	오르샤 조사원이 격동의 핵에서 무언가 발견한 모양이다.{nl}무슨 일인지 알아보자.	
QUEST_LV_0500_20221117_002210	격동의 핵 : 팔로우로스 클리어하기	
QUEST_LV_0500_20221117_002211	격동의 핵에 나타난 의문의 몬스터 팔로우로스를 처치하자.	
QUEST_LV_0500_20221117_002212	팔로우로스를 쓰러뜨렸다.{nl}오르샤 조사원에게 이 사실을 전하자.	
QUEST_LV_0500_20221117_002213	재규어 마스터는 당신이 재규어가 됨으로써 재규어로써 해야할 일을 알려주려고 한다.{nl}재규어 마스터와 이야기하자	
QUEST_LV_0500_20221117_002214	재규어 마스터가 준 의뢰 처리하기	
QUEST_LV_0500_20221117_002215	재규어 마스터는 재규어가 되었다고 단련을 게을리하지 말라고 한다.{nl}재규어 마스터가 준 의뢰를 처리하자.	
QUEST_LV_0500_20230130_002216	계시자님, 파야우타 씨가 사라진 이후로 계속해서 수색을 진행하고 있지만, 단서가 될만한 것이 보이지 않고 있습니다.	이네사 헤먼데일
QUEST_LV_0500_20230130_002217	수색과 함께 여신께 기도를 올려도 아무런 답이 없으십니다.	이네사 헤먼데일
QUEST_LV_0500_20230130_002218	계시자님이라면 어떠한 답변을 들으실 수 있지 않을까요?	이네사 헤먼데일
QUEST_LV_0500_20230130_002219	부디 여신의 가호가 계시자님과 함께 하길 바랍니다.	이네사 헤먼데일
QUEST_LV_0500_20230130_002220	기다리고 있었습니다. 계시자님.	라이마
QUEST_LV_0500_20230130_002221	네링가를 통해서 계시자님을 이 곳으로 오도록 한 이유는, 눈 앞에 놓은 두 가지 의문에 대한 답으로 가는 길을 알려 드리기 위해서입니다. 	라이마
QUEST_LV_0500_20230130_002222	두 가지 의문이란, 바로 {#003399}파야우타{/}와 주시자의 행방일 것입니다.	라이마
QUEST_LV_0500_20230130_002223	그 중 세상을 또 다른 위기에 빠뜨릴 수 있는 주시자. 우선 그 자의 행방부터 알려드리도록 하지요.	라이마
QUEST_LV_0500_20230130_002224	주시자의 원래 모습은 마신... 그 마신의 모습을 되찾기 위해 노바하로 향했습니다.	라이마
QUEST_LV_0500_20230130_002225	그 자의 그토록 오랜 세월간 악행의 원인은, 봉인해 둔 마신의 장갑을 크루비나와 혼돈의 힘으로 일깨우기 위함...	라이마
QUEST_LV_0500_20230130_002226	이 곳의 여신상으로부터 노바하로 인도해 드리겠습니다.	라이마
QUEST_LV_0500_20230130_002227	계시자님, 아니십니까?{nl}여긴 어쩐 일로...	에드문다스
QUEST_LV_0500_20230130_002228	아, 저와 제 동생은 그 일 이후로, 마을 사람들과 살 수 없다고 생각해서, 이렇게 고사리 숲에서 은둔 중입니다.	에드문다스
QUEST_LV_0500_20230130_002229	너무 오랜만이라 저희를 잊으신 줄 알았습니다.{nl}어쩐 일이십니까?	에드문다스
QUEST_LV_0500_20230130_002230	그때...	에드문다스
QUEST_LV_0500_20230130_002231	고사리 숲에서 마법사의 희생양이 될 뻔했던 위기를 계시자님께서 구해주셨지요.	에드문다스
QUEST_LV_0500_20230130_002232	하지만 저희는 실험의 대상이었고, 저희가 지닌 고사리 포자가 마을 사람들에게 감염될 수도 있다고 생각해서 마을로 돌아가지 못하고 있습니다...	에드문다스
QUEST_LV_0500_20230130_002233	그 이후 저는 그럭저럭 회복이 되었지만....	에드문다스
QUEST_LV_0500_20230130_002234	제 동생 로제는 도저히 회복의 기미가 보이질 않습니다.{nl}어쩌면 좋을지 모르겠습니다.	에드문다스
QUEST_LV_0500_20230130_002235	계속해서 주변에서 구할 수 있는 약재로 겨우 로제를 쓰러지지 않게 해줄 수 밖에 없습니다.	에드문다스
QUEST_LV_0500_20230130_002236	주시자요?	에드문다스
QUEST_LV_0500_20230130_002237	그, 의문의 마법사, 저희를 실험 대상으로 썼던 그 마법사의 원래 이름인가요?{nl}저는 그를 본 적이 없습니다.	에드문다스
QUEST_LV_0500_20230130_002238	하지만 로제라면 무언가 알고 있을텐데 지금 상태로는 말하기 힘들 것 같습니다.	에드문다스
QUEST_LV_0500_20230130_002239	어떻게든 기력이 더 떨어지지 않게 해줘야 하는데, 최근 부베들의 위협이 부쩍 심해져 혼자 움직일 수가 없습니다.	에드문다스
QUEST_LV_0500_20230130_002240	그, 계시자님 제가 로제를 지켜야 하니, 로제의 약으로 쓸 붉은 고사리를 좀 구해주실 수 있을까요?	에드문다스
QUEST_LV_0500_20230130_002241	주변에서 구할 수 있는 붉은 고사리입니다.{nl}부베놈들만 아니면… 제가 가도 되는데…	에드문다스
QUEST_LV_0500_20230130_002242	감사합니다.{nl}이걸로 약을 만들 수 있겠는데…	에드문다스
QUEST_LV_0500_20230130_002243	이제 안전한 곳으로 가야합니다.{nl}이곳에서 약을 만들기는 힘들 거 같거든요.	에드문다스
QUEST_LV_0500_20230130_002244	부베들이 요즘 부쩍 많아진 것이 혹시 그 주시자 때문일까요?	에드문다스
QUEST_LV_0500_20230130_002245	부베들이… 너무 많아서… 로제가 다치면 안되는데…	에드문다스
QUEST_LV_0500_20230130_002246	계시자님, 저는 로제를 데리고 피난처로 가겠습니다.	에드문다스
QUEST_LV_0500_20230130_002247	장소를 지도에 표시해드렸으니 이곳으로 오시면 됩니다.	에드문다스
QUEST_LV_0500_20230130_002248	저... 계시자님...	에드문다스
QUEST_LV_0500_20230130_002249	부베들을 피해다니면서 생활하던 터라 제대로 된 것을 먹지 못했습니다.	에드문다스
QUEST_LV_0500_20230130_002250	로제가 약을 먹으려면 무언가 먹어야 하기도 해서... 어떻게 좀... 식량이 될 만한 걸 구해주실 수 있을까요?	에드문다스
QUEST_LV_0500_20230130_002251	로제가 너무 기력이 없어서... {nl}꼭 부탁드립니다.	에드문다스
QUEST_LV_0500_20230130_002252	정말 감사합니다, 계시자님...	에드문다스
QUEST_LV_0500_20230130_002253	로제, 로제! 정신이 좀 드니? 	에드문다스
QUEST_LV_0500_20230130_002254	아...아? 이제 좀 제대로 뭔가가 보여요.	로제
QUEST_LV_0500_20230130_002255	조금 전까지는 눈 앞이 깜깜한 채 발이 둥둥 떠 있는 것 같았거든요... {nl}숨도 잘 안쉬어지고…	로제
QUEST_LV_0500_20230130_002256	그런데 이제 좀 ...그런데!	로제
QUEST_LV_0500_20230130_002257	계시자님이셨어요? 아아... 너무 반가워요...	로제
QUEST_LV_0500_20230130_002258	저는... 그때 그렇게 계시자님을 보내고 나서...{nl}다시 건강해지면 마을로 돌아가서 안네도 만나고 행상인 친구들도 만나고 그러려고 했는데...	로제
QUEST_LV_0500_20230130_002259	마음대로 안되었어요... 체력은 점점 약해지고... 자꾸만 쓰러지고... 오빠만 힘들게 하고...	로제
QUEST_LV_0500_20230130_002260	아! 네. 주시자! 그 주시자! 저희와 저희 마을을 만신창이로 만든 그 ... 마법사! 제가 봤어요!	로제
QUEST_LV_0500_20230130_002261	그렇게 그 마법사...{nl}아, 주시자라고 하셨나요?	로제
QUEST_LV_0500_20230130_002262	녀석은 노바하 서고로 갔습니다.	로제
QUEST_LV_0500_20230130_002263	노바하 서고로 가면 주시자에 대한 단서가 있을 겁니다.	로제
QUEST_LV_0500_20230130_002264	제가 안내해드릴게요. 	로제
QUEST_LV_0500_20230130_002265	서고는 본원 예배당을 통해서 가야 해요.{nl}어서 가요, 계시자님!	로제
QUEST_LV_0500_20230130_002266	무슨 소리 하는거야.{nl}너 지금 많이 아픈 상태야.	에드문다스
QUEST_LV_0500_20230130_002267	겨우 정신 차렸다고 해서 그 예배당에 서고까지 가겠다는 거야?	에드문다스
QUEST_LV_0500_20230130_002268	안돼, 혼자서는 안돼.{nl}꼭 가야한다면 나도 같이 가!	에드문다스
QUEST_LV_0500_20230130_002269	계시자님... 방금 그런 몬스터들을 보니{nl}로제를 안내역으로 맡기기에는 위험하다는 생각밖에 들지 않습니다.	에드문다스
QUEST_LV_0500_20230130_002270	로제 정말 괜찮은거니....?	에드문다스
QUEST_LV_0500_20230130_002271	하아, 부탁드려요.{nl}이제는 제가 말려도 소용 없을 것 같아요...	에드문다스
QUEST_LV_0500_20230130_002272	오빠가 걱정하는 거 알아.	로제
QUEST_LV_0500_20230130_002273	하지만 이 일은 나밖에 할 수 없다고 생각해.	로제
QUEST_LV_0500_20230130_002274	계시자님도 지금 세상을 구하는 것에 전력을 다하시는데 그런 멋진 일을 돕는데{nl}아프고, 무섭다고 도망치면 안된다고 생각해.	로제
QUEST_LV_0500_20230130_002275	네가 그렇게 말하면 더 말리지는 못하겠다.{nl}하지만 나도 끝까지 따라갈거야. 조심하면 어떻게든 되겠지.	에드문다스
QUEST_LV_0500_20230130_002276	계시자님, 서고로 가시죠.	에드문다스
QUEST_LV_0500_20230130_002277	어... 왜 이러지...{nl}여기 오니까 갑자기 소, 속이 울렁거리고 아찔하네요...	로제
QUEST_LV_0500_20230130_002278	잠시, 조금만 쉬면, 조금만 기다리면 괜찮아질 거예요...	로제
QUEST_LV_0500_20230130_002279	눈이 아파와요...	로제
QUEST_LV_0500_20230130_002280	이상하다... 눈이, 눈이 왜 아프지... 앞이 아찔... 아득해...	로제
QUEST_LV_0500_20230130_002281	저렇게까지 약하지는 않았어요.{nl}행상일을 하려면 체력이 기본이었으니...	에드문다스
QUEST_LV_0500_20230130_002282	그런데 너무 쇠약해져서...	에드문다스
QUEST_LV_0500_20230130_002283	네? 부베가 이런 것들을 마을사람들로부터 약탈한 거군요...	로제
QUEST_LV_0500_20230130_002284	속상하지만... 기운을 차려야 또 계시자님을 안내할 수 있을 테니, 감사히 받을게요.	로제
QUEST_LV_0500_20230130_002285	이제 조금 기운이 나네요.{nl}눈은 여전히 아프지만...	로제
QUEST_LV_0500_20230130_002286	그런데 가만 생각해보니, 제가 여기 도착해서 더 상태가 안 좋아진 건, 이 근처... 여기 서고에서 느껴지는 어떤... 꺼림칙하고 나쁜 기운 때문인 것 같아요.	로제
QUEST_LV_0500_20230130_002287	그... 사악한 기운 때문에...{nl}부베들도 더 포악해지고 사나워진 게 틀림없어요.	로제
QUEST_LV_0500_20230130_002288	어떤 방향으로 점점....그 사악한 기운이 짙어지는 것이 느껴져요.{nl}여기, 무언가 있는 게 확실해요.	로제
QUEST_LV_0500_20230130_002289	제가... 기운이 짙어지는 쪽으로 안내할게요.{nl}눈이 더 아프고 아찔해지는 방향으로... 가면...	로제
QUEST_LV_0500_20230130_002290	다 좋은데 로제, 너무 무리하지 말자, 제발...	에드문다스
QUEST_LV_0500_20230130_002291	이건... 무슨... 관악기의 리드 부분 같이 생겼어요.{nl}피리인가?	로제
QUEST_LV_0500_20230130_002292	어쨌든 그 사악한 기운이 가득 서려 있어요.	로제
QUEST_LV_0500_20230130_002293	사악하고 불길함이... 그리고 저 안에 있는 것은 뭘까요?	로제
QUEST_LV_0500_20230130_002294	틀림없이 그 주시자와 관련이 있어요! 	로제
QUEST_LV_0500_20230130_002295	이걸 알아봐야 할 텐데...	로제
QUEST_LV_0500_20230130_002296	저 캡슐을 들고 갈 수는 없으니 이 관악기 리드 같은 게 뭔지부터 알아보면...	로제
QUEST_LV_0500_20230130_002297	그, 그래야 제 머리랑 눈이 좀 덜 아플 것 같아요.	로제
QUEST_LV_0500_20230130_002298	아... 로제가 많이 아픈가 봐요... 어쩌지, 어쩌죠...	에드문다스
QUEST_LV_0500_20230130_002299	제가 주변에서 진통제로 쓸만한 약초를 구해 볼테니, 계시자님은 그 악기 리드 부분을 가지고 가셔서 그게 뭔지 알아보시면 어떨까요?	에드문다스
QUEST_LV_0500_20230130_002300	그게 뭔지 알아야 로제의 통증이 나아질테니까요...	에드문다스
QUEST_LV_0500_20230130_002301	그... 오르샤의 마법협회 같은 곳에 가서 물어보면 알려줄 거예요.	에드문다스
QUEST_LV_0500_20230130_002302	머리가... 눈이... 너무 아파요.	로제
QUEST_LV_0500_20230130_002303	그 피리의 리드 부분이 뭔지 빨리 알아야 해요...	로제
QUEST_LV_0500_20230130_002304	어서오세요. 마법협회 오르샤 지부입니다.	플로아나
QUEST_LV_0500_20230130_002305	무엇을 찾으시나요?	플로아나
QUEST_LV_0500_20230130_002306	도와드릴 게 있나요?	플로아나
QUEST_LV_0500_20230130_002307	흠. 들고 계신 그 물건은, 확실히 관악기의 리드 부분이군요.	플로아나
QUEST_LV_0500_20230130_002308	그리고... 희미하지만, 파이드 파이퍼 마스터이신 요가일라 님의 각인이 남아 있는 것으로 보입니다.	플로아나
QUEST_LV_0500_20230130_002309	아마, 파이드 파이퍼 마스터 요가일라 님을 찾아가시면 확실한 답을 들으실 수 있을 것입니다.	플로아나
QUEST_LV_0500_20230130_002310	마침 파이드 파이터 마스터님은 오르샤에서 멀지 않은 이사우고티 숲에 잠시 와 계시니, 가서 만나보시기 바랍니다.	플로아나
QUEST_LV_0500_20230130_002311	아, 계시자님 오랜만에 뵙습니다.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002312	잘 지내셨나요?	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002313	무슨 일로 오셨는지는 알고 있습니다.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002314	이제는 이야기할 때가 됐군요.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002315	이건 바로 제 	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002316	비밀의 곡조	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002317	라는 것의 일부입니다.{nl}이렇게 수명을 다하고 리드만 남은 것을 보니 아마 그 장갑이 깨어난 모양이군요.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002318	아니 정확하게 말하면 	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002319	돌아왔다	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002320	라고 해야되려나요.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002321	긴 설명을 드릴 수는 없을테고, 계시자님이시니 솔직하게 고백하겠습니다.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002322	저는 주시자, 마족이자 마신인 {#003399}슬로거티스{/}와 거래를 했습니다. 제가 암지나스가 되는 것과, 주시자가 다시 {#003399}슬로거티스{/}가 될 수 있도록 장갑을 돌아오게 도와주는 것을 교환하였죠.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002323	하지만 이제 장갑은 돌아왔으니, {#003399}슬로거티스{/}와의 거래는 완료된 셈이고 저는 한 사람의 인간 마스터로서 이 일을 수습해야겠네요.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002324	일단 제가 이 리드로 다시 어떤 곡조를 만들어드리죠.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002325	그걸로 ... 아, 캡슐에 들어있다고 하셨죠.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002326	네. 그 캡슐을 깰 수 있는 곡조를 드리겠습니다.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002327	마스터로 왕국에 매인 몸이기도 하고, 어쨌든 비밀의 곡조를 내줬던 사람으로서 직접 나서지 못함을 용서하십시오.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002328	계시자님이라면 이 곡조로 캡슐을 쉽게 깰 수 있을 겁니다.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002329	그 다음은... 잘 아시는 바 대로.	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002330	그게 뭔지 알아보셨나요?	로제
QUEST_LV_0500_20230130_002331	저는 오빠가 구해 준 약초 덕분에 조금 견딜 만해졌어요.	로제
QUEST_LV_0500_20230130_002332	어쩌면 그 리드 같은 걸 계시자님이 가지고 가 주셔서 그랬나...	로제
QUEST_LV_0500_20230130_002333	아... 역시, 그건 피리의 리드 부분이었군요?	로제
QUEST_LV_0500_20230130_002334	파이드 파이퍼 마스터님까지 만나보고 오셨으니 이제 이 사악한 기운을 멈출 수 있겠죠?	로제
QUEST_LV_0500_20230130_002335	파이드 파이퍼 마스터님은 이 커다란 캡슐의 존재까지 알고 계셨군요...	로제
QUEST_LV_0500_20230130_002336	사악한 기운이 서려 있던 리드 같은 걸로 이 큰 캡슐을 파괴할 악기를 만들어 주시다니... {nl}신비한 분이시군요....	로제
QUEST_LV_0500_20230130_002337	암지나스요?	로제
QUEST_LV_0500_20230130_002338	그런 어려운 건 잘 몰라도...	로제
QUEST_LV_0500_20230130_002339	아악, 다시 머리가!	로제
QUEST_LV_0500_20230130_002340	계시자님, 지체하지 말고 그 악기로 이 캡슐을 파괴해주세요!	로제
QUEST_LV_0500_20230130_002341	이 사악한 기운이 더 퍼져나가면... 그 주시자가... 세상을... 	로제
QUEST_LV_0500_20230130_002342	계시자님, 로제를 구해야 해요!!	에드문다스
QUEST_LV_0500_20230130_002343	저 먼저 참회의 기도실로 가겠습니다!	에드문다스
QUEST_LV_0500_20230130_002344	어떻게든... 어떻게든 로제를 지켜야 하는데...{nl}이런 정도의 오빠라니 너무 부끄럽습니다...	에드문다스
QUEST_LV_0500_20230130_002345	막상 몬스터들이 몰려오니 겁이 나서 그만...	에드문다스
QUEST_LV_0500_20230130_002346	이대로 동생을 지킬 수 있을까요...	에드문다스
QUEST_LV_0500_20230130_002347	지금도 계시자님이 안계셨으면 전 죽었을 겁니다...{nl}지금도 덜덜 떨려요... 	에드문다스
QUEST_LV_0500_20230130_002348	지금까지도 도와주셨는데, 다시 나서주시다니 정말 감사합니다...	에드문다스
QUEST_LV_0500_20230130_002349	꼭, 꼭 동생을 구해주셔야 합니다...	에드문다스
QUEST_LV_0500_20230130_002350	그게 돌아가신 부모님과의 약속을 지키는 길이에요...	에드문다스
QUEST_LV_0500_20230130_002351	보셨습니까, 계시자님?	에드문다스
QUEST_LV_0500_20230130_002352	제가 직접 도움은 안되었지만, 본 것은 말씀드릴 수 있어서 다행이에요!	에드문다스
QUEST_LV_0500_20230130_002353	부베들이 쓰러지면서 스크롤을 떨어뜨렸습니다!	에드문다스
QUEST_LV_0500_20230130_002354	틀림없이, 이 스크롤에 단서가 있을 겁니다!	에드문다스
QUEST_LV_0500_20230130_002355	이건... 어디보자...	에드문다스
QUEST_LV_0500_20230130_002356	{@st66d_y}{s25}마족지령서{/}{/}{nl}주시자님께서 의식이 진행될 동안 봉인석을 지키라고 명하셨다.{nl}제 1 기도실과 제 2 기도실에 있는 봉인석을 철저히 방어해라.	PC
QUEST_LV_0500_20230130_002357	주시자가 봉인석을 이용해 만든 결계다.	
QUEST_LV_0500_20230130_002358	으윽... 저는 아직은 전투 능력이 없어서....{nl}최소한 계시자님께 방해는 되지 말아야겠어서...{nl}숨다가 그만.. 좀, 다친 것 같습니다....	에드문다스
QUEST_LV_0500_20230130_002359	신경쓰지 마시...고...	에드문다스
QUEST_LV_0500_20230130_002360	이제 제 2 기도실에 있는 봉인석을 파괴하러 가시죠...	에드문다스
QUEST_LV_0500_20230130_002361	제 2 기도실은 어디...지....	에드문다스
QUEST_LV_0500_20230130_002362	윽...	에드문다스
QUEST_LV_0500_20230130_002363	순수한 인간으로는 충실한 부하를 만들기 어렵군.	주시자
QUEST_LV_0500_20230130_002364	순수함 따윈 볼품없고, 저주와 마찬가지인 것을....	주시자
QUEST_LV_0500_20230130_002365	로제... 아직 못해준 게 너무 많은데...	에드문다스
QUEST_LV_0500_20230130_002366	미안해... 오빠가  미안하구나...	에드문다스
QUEST_LV_0500_20230130_002367	계시자님, 혹시 바쁘시지 않다면 영주님 몰래 한가지 일을 해결해주실 수 있으십니까?	영주 호위병
QUEST_LV_0500_20230130_002368	현재 노바하와 덧댄다리 숲에서 밤마다 소녀의 비명소리가 들린다는 소리를 듣고 조사를 하고 있습니다.	영주 호위병
QUEST_LV_0500_20230130_002369	이 소리는 노바하 쪽에 가까워지면 가까워질 수록 커진다고 하는데...	영주 호위병
QUEST_LV_0500_20230130_002370	현재 파야우타님과 주시자를 찾고, 민원을 처리하는데 영주님이 전력을 쏟고 계셔서 움직일 수가 없으십니다.	영주 호위병
QUEST_LV_0500_20230130_002371	이 일에 대해서 조사를 해주십시오.	영주 호위병
QUEST_LV_0500_20230130_002372	어, 계시자님?{nl}여긴 어쩐 일로?	큐폴 루타
QUEST_LV_0500_20230130_002373	저는 향로 안에 있는 로제의 영혼을 정기적으로 정화하기 위해서 왔습니다.	큐폴 루타
QUEST_LV_0500_20230130_002374	네? 로제의 비명소리로 오르샤에서 난리라고요?	큐폴 루타
QUEST_LV_0500_20230130_002375	단순 정화로는 해결이 안되는 거 같군요.	큐폴 루타
QUEST_LV_0500_20230130_002376	계시자님. 로제를 제압하러 가시죠.	큐폴 루타
QUEST_LV_0500_20230130_002377	저 루타가 계시자님을 돕겠습니다.	큐폴 루타
QUEST_LV_0500_20230130_002378	주시자의 힘이 영혼을 더럽혀서 주기적으로 이런 현상이 발생할 거 같네요.	큐폴 루타
QUEST_LV_0500_20230130_002379	계시자님의 힘이 절실할 거 같습니다.	큐폴 루타
QUEST_LV_0500_20230130_002380	계시자님의 모험에 평안이 있기를... 	파이드 파이퍼 마스터
QUEST_LV_0500_20230130_002381	에드문다스는 넋이 나간 듯, 조용히 자리를 떠났다.	PC
QUEST_LV_0500_20230130_002382	오르샤 공고판	
QUEST_LV_0500_20230130_002383	노바하 지역의 부베를 잡아주실 모험가를 모집하고 있습니다.	오르샤 공고판
QUEST_LV_0500_20230130_002384	부베를 잡으시고, 오르샤로 오셔서 보상을 받아기십시오.	오르샤 공고판
QUEST_LV_0500_20230130_002385	의뢰에 관련 공고들이 모여있는 게시판이다.	오르샤 공고판
QUEST_LV_0500_20230130_002386	오르샤 영주 경비병	
QUEST_LV_0500_20230130_002387	계시자님, 무슨 일로 오셨습니까?	오르샤 영주 경비병
QUEST_LV_0500_20230130_002388	네? 이 의뢰를 보고 오셨다고요?	오르샤 영주 경비병
QUEST_LV_0500_20230130_002389	노바하 쪽은 지금 인력이 없고, 자원하시는 모험가분도 없으셔서 고생이 많았는데....	오르샤 영주 경비병
QUEST_LV_0500_20230130_002390	오르샤 마법협회에서 포쿠부 송곳니를 구하고 있습니다.	오르샤 공고판
QUEST_LV_0500_20230130_002391	관심이 있는 분들을 포쿠부 송곳니를 모아서 오르샤 마법협회를 찾아와주세요!	오르샤 공고판
QUEST_LV_0500_20230130_002392	안녕하세요{nl}무슨 일로 오셨나요?	플로아나
QUEST_LV_0500_20230130_002393	공고문을 보고 포쿠부 송곳니를 구해오셨다고요?	플로아나
QUEST_LV_0500_20230130_002394	탐욕스러운 여상인	
QUEST_LV_0500_20230130_002395	아오, 짜증나!	탐욕스러운 여상인
QUEST_LV_0500_20230130_002396	망할 부베놈들... 내 물건들을 모두 가져갔어!	탐욕스러운 여상인
QUEST_LV_0500_20230130_002397	어, 당신 지금 바쁘지 않다면 부베 놈들이 가져간 내 물건 좀 가져와 줄 수 있어?	탐욕스러운 여상인
QUEST_LV_0500_20230130_002398	내가 충분한 보상을 해줄게.	탐욕스러운 여상인
QUEST_LV_0500_20230130_002399	좋아.{nl}마차를 가져오는 건 힘드니까. 안에 있는 물건들이라도 좀 가져와줘.	탐욕스러운 여상인
QUEST_LV_0500_20230130_002400	고마워.{nl}하지만 이대로 끝낼 순 없지....	탐욕스러운 여상인
QUEST_LV_0500_20230130_002401	부베 놈들한테 받은 것을 되갚아야 해!	탐욕스러운 여상인
QUEST_LV_0500_20230130_002402	부베를 보니까 몸에 보석을 박고 있던데....	탐욕스러운 여상인
QUEST_LV_0500_20230130_002403	저것들을 팔면 내가 본 손해를 메꿀 수 있을 거 같거든?	탐욕스러운 여상인
QUEST_LV_0500_20230130_002404	부베를 잡아 죽이고 보석 좀 가져와줘. 	탐욕스러운 여상인
QUEST_LV_0500_20230130_002405	저 반짝이는 보석을 빨리 가져와줘.	탐욕스러운 여상인
QUEST_LV_0500_20230130_002406	좋아.{nl}이거라면 아주 비싸게 팔릴 거야.	탐욕스러운 여상인
QUEST_LV_0500_20230130_002407	여상인은 보석을 들고 자리를 떠났다.	탐욕스러운 여상인
QUEST_LV_0500_20230130_002408	고립된 학자	
QUEST_LV_0500_20230130_002409	으, 이걸 어떻게 해야하지...	고립된 학자
QUEST_LV_0500_20230130_002410	어? 혹시 나 좀 도와주실 수 있겠나....?	고립된 학자
QUEST_LV_0500_20230130_002411	부베들 때문에 여기서 움직일 수가 없다네...	고립된 학자
QUEST_LV_0500_20230130_002412	오르샤로 가야 하는데....	고립된 학자
QUEST_LV_0500_20230130_002413	정말인가...!	고립된 학자
QUEST_LV_0500_20230130_002414	고맙네!	고립된 학자
QUEST_LV_0500_20230130_002415	이곳을 지나갔을 때는 못 봤던 책이다.{nl}읽어볼까?	
QUEST_LV_0500_20230130_002416	오르샤 영주 호위병	
QUEST_LV_0500_20230130_002417	아, 계시자님. 어서 오십시오.{nl}무슨 일로 찾아오셨나요?	오르샤 영주 호위병
QUEST_LV_0500_20230130_002418	실험 일지요?	오르샤 영주 호위병
QUEST_LV_0500_20230130_002419	내용을 들어보니 간단히 넘어가야 할 사항은 아닌 거 같군요.	오르샤 영주 호위병
QUEST_LV_0500_20230130_002420	계시자님께서 말씀해주신 것들은 제가 영주님께 보고드리겠습니다.	오르샤 영주 호위병
QUEST_LV_0500_20230130_002421	계시자님께는 또 도움을 받는군요.	오르샤 영주 호위병
